Product ID,Name,Category,Price (Dh),Old Price (Dh),Discount_old_price (%),Discount (%),Marque,Rating
2430,English C120 Air Mouse 2.4G Mini Wireless Keyboard Rechargeable Remote for PC Android TV-box,TV & Hi,216900,10900,N/A,67,Expédié depuis Maroc,4.2
2175,"Microphone à condensateur USB professionnel, enregistrement, Studio, pour PC, ordinateur portable",TV & Hi,29900,39900,25,25,Seulement Boutiques Officielles.,4.4
7973,5 PCS Absorbeur d'humidité recharge Granulés anti-humidité 400g vanille,TV & Hi,12500,19500,36,36,N/A,5.0
1530,Support de casque pour casque de jeu PC Gamer,TV & Hi,14900,29900,50,50,AiiilApcBoyaEasy CapGeneralGenericHocoHyundaiibogaJedelJERTECHKinKingstonKisonliLed ProjectorMamenNiaOtherPlantronicsSmart ProSonySVCThe Unbranded BrandTop ModelTP-LinkWicom UniversX96,3.0
9550,"câble audio 3,5 mm mâle à 6,5 mm collecteur pour tablette PC iPod MP3",TV & Hi,12500,19900,37,37,Articles en promotion seulement,5.0
1473,Professional Condenser Sound Audio Wired Stereo Microphone for PC Laptop Skype Recording Sound Podcast with Stand Holder/,TV & Hi,16435,25350,35,35,Black NightBlue SkyOrange,3.4
1359,Mini microphone YW-30 avec support pour ordinateur portable PC portable,TV & Hi,9000,18800,52,52,Expédié depuis Maroc,4.0
3293,"Câble HDMI 1.5m Premium 4K Ultra HD Robuste, Blu-Ray PC Moniteur TV PS Xbox",TV & Hi,4900,9900,51,51,Seulement Boutiques Officielles.,5.0
1869,High Screen Storage Shelf Stand Computer Monitor Riser Desktop TV Stand,TV & Hi,8910,11900,25,25,N/A,5.0
1422,Softbox Lighting Kit 2 PCS 50x70 Studio Photo Professionnel Photographie Lumière,TV & Hi,77900,100000,22,22,AiiilApcBoyaEasy CapGeneralGenericHocoHyundaiibogaJedelJERTECHKinKingstonKisonliLed ProjectorMamenNiaOtherPlantronicsSmart ProSonySVCThe Unbranded BrandTop ModelTP-LinkWicom UniversX96,5.0
1275,10 Pcs DC Fiche Male Jack Connecteur Adaptateur pour Camera de Surveillance,TV & Hi,4400,6500,32,32,Articles en promotion seulement,5.0
4729,Wicom Univers Originale Microphone Cravate 3.5mm Jack Mains-libre Mini Filaire Microphone À Condensateur pour iphone Samsung Smartphone  PC Clip-sur Revers,TV & Hi,5750,6300,9,9,Black NightBlue SkyOrange,5.0
2061,Câble HDMI 15 M 1080P pour: Récepteur / PC / Camera / PS4 / Xbox 360 / Xbox one / WIIU,TV & Hi,13900,28900,52,52,Expédié depuis Maroc,5.0
3376,Jedel Haut Parleurs pc RGB Stéréo Speakers multimédia Pc 2*4w -Jack -USB,TV & Hi,12900,33900,62,62,Seulement Boutiques Officielles.,3.6
1264,"Câble HDMI mâle mâle 1.5 mètres pour relier TV, Pc portable, Playstation, TV Android Box -noir",TV & Hi,3900,10000,61,61,N/A,3.4
1010,"Câble HDMI 10m Mâle Mâle Multi Usage Pour TV, Pc portable, Playstation 10 mètres",TV & Hi,12000,13500,11,11,AiiilApcBoyaEasy CapGeneralGenericHocoHyundaiibogaJedelJERTECHKinKingstonKisonliLed ProjectorMamenNiaOtherPlantronicsSmart ProSonySVCThe Unbranded BrandTop ModelTP-LinkWicom UniversX96,3.0
2321,"Câble HDMI 3m // TV, Pc portable, Playstation  // Mâle Mâle Longueur 3.0 mètres",TV & Hi,7500,9900,24,24,Articles en promotion seulement,3.9
2316,"Mini Aspirateur portable humide , nettoyeur Portable Aspirateur De Voiture pc portable computer",TV & Hi,14799,30000,51,51,Black NightBlue SkyOrange,3.1
1115,"câble 3,5 mm Stéréo Jack PC/Laptop vers XLR Femelle Mixer/Speaker câble 2mitre",TV & Hi,7900,14900,47,47,Expédié depuis Maroc,1.0
